name,category,description,user_id,wtf_phrase,activity,price
KITT,K2000,"Voiture intelligente, parle mieux que toi et conduit comme un pro. Prend ça Tesla.",,“J’ai vu votre historique de recherche.”,Refuse de te conduire si tu écoutes de la mauvaise musique.,
The Dude,The Big Lebowski,"Roi du chill absolu, porte toujours un peignoir et sirote un White Russian.",,"“Ça, c’est juste ton opinion mec.”",Boit des cocktails et joue au bowling dans ton salon.,
Dora,Dora l’Exploratrice,Exploratrice surexcitée qui pose trop de questions et parle parfois anglais.,,“OÙ EST LE MUR ?! JUSTE DEVANT TOI !”,Pose des questions évidentes en criant.,
Eric Cartman,South Park,"Enfant insupportable et maléfique, toujours prêt à comploter contre tout le monde.",,“RESPECT MY AUTHORTY !”,Insulte tes invités et essaie de te voler de l’argent.,
Sid,L’Âge de Glace,"Paresseux ultra-maladroit, mais attachant à sa façon.",,“Vous êtes ma nouvelle famille !”,Casse tout ce qui est fragile dans ta maison.,
Walter White,Breaking Bad,Prof de chimie devenu baron de la drogue. Un mélange de génie et de folie.,,“Je suis le danger.”,Transforme ton garage en labo douteux.,
Ellen Ripley,Alien,"Survivante ultime, spécialiste en extermination de nuisibles.",,"“Si un œuf bizarre éclot, tu cours.”",Détruit tout ce qui ressemble à un insecte chez toi.,
Drizzt Do’Urden,Donjons & Dragons,Elfe noir trop gentil pour son propre bien.,,“Pourquoi personne ne m’aime ?”,Se cache dans un coin et joue avec ses épées.,
Galadriel,Le Seigneur des Anneaux,"Reine elfique mystérieuse, capable de voir ton avenir (et te juger).",,“Ne me tente pas avec l’anneau !”,Jette des regards perçants à ton chat.,
Daenerys Targaryen,Game of Thrones,"Mère des Dragons, libératrice des esclaves… et occasionnellement pyro-maniaque. Réduction de 10% si tu prononces tous ses titres.",,“Je veux être gentille… jusqu’à ce que je sois méchante.”,Transforme ta cour en champ de cendres.,
Buffy,Buffy contre les vampires,"Tueuse de vampires badass, enchaîne lycée, romance et baston contre des démons ... le tout sans RTT.",,“Où est ton pieu ?”,Démolit ton mobilier en s’entraînant.,
Uther Pendragon,Légendes Arthuriennes,Roi borné qui n’écoute personne. Prouve que génétique + rage = problèmes.,,"“Arthur, rends-moi mon épée !”",Hurle des ordres inutiles et méprise tes décisions.,
Leeloo,Le Cinquième Élément,"Super-héroïne bio-ingénierée, parle bizarrement et mange du poulet.",,“MULTIPASS !”,Dévore toute ta nourriture en 5 minutes.,
Peppa Pig,Peppa Pig,Petit cochon sadique avec une soif de pouvoir absolu.,,“Rit diaboliquement après t’avoir humilié.”,Juge ta vie et t’écrase émotionnellement.,
Mr. Bean,Mr. Bean,"Génie du chaos silencieux, provoque des catastrophes involontaires.",,“Regarde fixement sans parler.”,Endommage ton appart sans que tu comprennes comment.,
Beetlejuice,Beetlejuice,"Fantôme maléfique et hilarant, adore semer la pagaille.",,“Dis mon nom trois fois et ça va dégénérer.”,Possède tes meubles et embête tes invités.,
Barney Stinson,How I Met Your Mother,"Séducteur en costard, obsédé par les défis absurdes.",,“LEGEN ... WAIT FOR IT ... DARY!”,Détruit ton couple en moins de 24h.,
Morgane,Légendes Arthuriennes,"Magicienne vengeresse, fascinée par la manipulation.",,"“Tu voulais de la magie ? Tiens, prends ça.”",Te transforme en animal juste pour voir ta tête.,
Dexter Morgan,Dexter,Serial killer méthodique… mais seulement contre les criminels !,,“Ce n’est pas du meurtre si c’est bien fait.”,Passe trop de temps dans ton garage avec du plastique.,
Peach,Super Mario,"Princesse kidnapée en permanence, mais qui a un bon coup de poing dans Smash Bros.",,"“Merci Mario, mais ta princesse est ailleurs !”",Attend qu’un plombier vienne la sauver.,
Tifa Lockhart,Final Fantasy VII,"Experte en arts martiaux, meilleure amie protectrice.",,“Je vais te sauver… avec mes poings !”,Détruit tout ce qui ressemble à un punching-ball.,
Tom Bombadil,Le Seigneur des Anneaux,"Être mystique ultra-puissant, mais qui préfère chanter dans la forêt.",,"“Je pourrais sauver le monde, mais j’ai la flemme.”",Chante en boucle pendant 10 heures sans raison.,
Scar,Le Roi Lion,"Traître de luxe, charismatique mais totalement sournois.",,“Longue vie au Roi… ou pas.”,Jette tes potes dans un précipice “pour rigoler”.,
Gargamel,Les Schtroumpfs,"Sorcier malchanceux, obsédé par petits être qu'il est le seul a voir.",,"“Un jour, je les aurai, ces maudits Schtroumpfs !”",Tente de capturer ton chat en le prenant pour un Schtroumpf géant.,
Bowser,Super Mario,"Grand méchant récurrent, kidnappe des princesses pour le fun.",,“Tu crois que je fais ça pour moi ?!”,Essaie de kidnapper ton chat pour l’échanger contre Peach.,
Alfred Pennyworth,Batman,"Majordome ultra-efficace, toujours une répartie sarcastique.",,“Je vous ai préparé votre thé… et un plan d’attaque.”,"Améliore ta vie à tous les niveaux, mais te juge sans arrêt.",
Pikachu,Pokémon,Boule de foudre jaune qui dit son nom en boucle comme tout bon rapeur qui se respecte.,,“Pika Pika !”,Court partout et électrocute tes prises électriques.,
Chewbacca,Star Wars,"Wookiee géant, copilote et hurleur attitré.",,“rrrrraaaaaaaaaaaaaaaaaaaah”,Déplace tous tes meubles pour les adapter à sa taille.,
Dr Watson,Sherlock Holmes,"Médecin loyal, assistant de Sherlock, subit toutes les folies du détective.",,"“Encore une théorie absurde, Sherlock ?”",Note tout ce que tu fais en soupirant.,
Gandalf,Le Seigneur des Anneaux,"Magicien légendaire, capable d’apparaître pile au bon moment. Ah et c'est sur ... vous ne passerez pas !",,“Un magicien n’est jamais en retard…”,Fume de l’herbe à pipe et fait des discours inspirants.,
Groot,Les Gardiens de la Galaxie,"Arbre parlant, expert en langage limité mais attachant.",,“Je s’appelle Groot.”,Plante ses racines partout et refuse de parler d’autre chose.,
Captain Crochet,Peter Pan,"Pirate vénère, déteste les crocodiles et les enfants volants. Est-ce qu'il rêve sa vie en couleur ?",,"“Mille sabords, encore ce Peter Pan !”",Essaie d’attraper une mouche en pensant que c’est la Fée Clochette.,
Dr Robotnik,Sonic,"Scientifique mégalo, obsédé par la robotisation du monde.",,"“Ah ah ah ! Sonic, tu ne peux rien contre moi !”",Transforme ton grille-pain en machine de guerre.,
Dutch Van der Linde,Red Dead Redemption,"Leader charismatique, mais totalement instable.",,"“J’ai juste besoin d’un peu plus de temps, Arthur.”",Fait de grands discours sur “un dernier coup” et te ruine financièrement.,
